node_id,longitude,latitude,girvan_newman_community
355928076,12.3352687,45.4408883,1
4212293024,12.3383035,45.4324995,2
355928081,12.335894,45.4415731,1
355928082,12.3361064,45.4407468,1
355928083,12.336546,45.4409078,1
355928085,12.3359153,45.4408106,1
355928086,12.3362495,45.4411704,1
10178856983,12.3595074,45.4282032,12
10178856981,12.3595006,45.4281819,12
10178856985,12.360067,45.4294413,12
4212293027,12.3430601,45.4334688,2
4212293029,12.3183434,45.4395517,4
9645230121,12.3389492,45.4347271,2
4212293031,12.3211444,45.4402645,10
7919765568,12.3279058,45.4299534,5
7919765569,12.3278178,45.4299838,5
3327461450,12.3133636,45.4403371,4
3327461451,12.3127724,45.440619,4
3327461453,12.312956,45.4406924,4
3327461466,12.3130051,45.4407059,4
3327461467,12.3129344,45.4405445,4
247793758,12.3310311,45.4305923,5
3327461485,12.3126957,45.4406121,4
12725356654,12.3066128,45.4349282,4
49547384,12.3379173,45.4439304,1
12725356663,12.3070436,45.4349973,4
12725356664,12.3067737,45.4351191,4
4370761861,12.326156,45.4307198,5
12725356672,12.3068761,45.4352412,4
12725356673,12.3072955,45.4348847,4
12725356674,12.3073142,45.4349031,4
12725356682,12.3059822,45.4357662,4
49973391,12.335763,45.4351669,2
49973394,12.3356964,45.4355875,2
49973399,12.3355965,45.4357179,2
12725356692,12.3055023,45.4359767,4
49973409,12.3354722,45.4358123,2
49973414,12.335718,45.4361588,2
4894394535,12.3288423,45.4392343,11
49973416,12.3358446,45.4360388,2
1838206272,12.3224915,45.4365064,3
1855391925,12.3557725,45.4330134,8
1855391928,12.3508767,45.433276,8
1855391929,12.351701,45.4326399,8
1855391930,12.3528924,45.4330764,8
1855391933,12.3500044,45.4335134,8
8059259078,12.3551714,45.432901,8
8059259082,12.3549572,45.4329026,8
1331529931,12.3274759,45.4450368,6
5373757664,12.3573284,45.4331896,8
5373757666,12.3572572,45.4330299,8
5373757667,12.3573971,45.4328098,8
7133661425,12.3247204,45.4477754,15
7133661426,12.3247084,45.4477558,15
7133661427,12.3247615,45.4477355,15
7133661428,12.3246895,45.4476326,15
7133661429,12.3247805,45.4477627,15
49547520,12.3383693,45.4438302,1
49547521,12.338842,45.443725,1
1927219469,12.319764,45.4403552,10
1927219474,12.3200655,45.4407263,10
1927219475,12.3208178,45.4408665,10
1927219479,12.3210338,45.4410566,10
1927219480,12.3206728,45.4412611,10
1927219482,12.3211464,45.4416749,10
10003908886,12.3148571,45.440108,4
5217650981,12.3349983,45.4350203,2
679479591,12.3442653,45.4385636,9
2732099893,12.3264066,45.438269,3
4370729270,12.3317557,45.436521,13
4370729275,12.3345897,45.4374995,13
2732099904,12.3295587,45.4389604,11
2732099902,12.3243333,45.4385384,3
8006011204,12.3241797,45.4324042,0
2732099909,12.3294953,45.4390349,11
2732099913,12.3291972,45.4391765,11
1660324170,12.3409573,45.4414509,1
2732099919,12.3292308,45.4392032,11
2732099927,12.3288959,45.4393523,11
7578650971,12.337605,45.4335812,2
4183624047,12.3317964,45.4461087,6
4183624048,12.3310004,45.4456819,6
4183624049,12.331245,45.4459066,6
4803889582,12.3283476,45.4365054,3
4803889583,12.3278208,45.436572,3
4919658949,12.3578118,45.4283075,12
4919658953,12.3579754,45.4284632,12
6225168845,12.3577397,45.4319151,8
8838351311,12.3320443,45.4286626,5
27232724,12.3343508,45.4411572,1
6225168853,12.3578693,45.4316798,8
2514782680,12.332333,45.4443884,6
6225168855,12.3579671,45.4317062,8
6225168854,12.357872,45.4318805,8
553322971,12.3153108,45.4413159,4
27363816,12.3415012,45.4375736,9
3813050868,12.3229933,45.4382878,3
5178350754,12.3156559,45.4331975,0
8004045336,12.3201853,45.4351059,0
8004045339,12.3193613,45.4319882,0
