node_id,longitude,latitude,infomap_community
11630708126,12.3094557,45.442304,5
11630708130,12.3088785,45.4422568,5
49546664,12.3385775,45.4441496,0
11630708137,12.3089032,45.4420152,5
11630708138,12.3091199,45.4421123,5
11630708139,12.3091119,45.4423248,5
11630708152,12.3098658,45.441691,5
11630708160,12.3087754,45.4424663,5
248776130,12.3418048,45.4384458,0
7431128519,12.3088537,45.4423629,5
11630708166,12.3091359,45.4420568,5
27231707,12.3389336,45.4439547,0
27231715,12.3403708,45.4431517,0
27231718,12.3406765,45.442978,0
27231719,12.3411292,45.4427211,0
49546732,12.3377254,45.4435392,0
355567086,12.3412331,45.4357312,0
7431128564,12.3117185,45.4406988,5
11935188469,12.3317783,45.438348,4
10615784952,12.332148,45.4378346,4
10615784953,12.3322575,45.437763,4
10615784954,12.3325398,45.4377478,4
10615784956,12.3323439,45.4377001,4
10615784958,12.3330309,45.4372524,4
10615784959,12.3325061,45.4377542,4
10615784960,12.3323214,45.4378053,4
10615784957,12.332168,45.4378312,4
10615784962,12.3331258,45.4375698,4
10615784961,12.3326002,45.4370817,4
355567111,12.3415481,45.4362512,0
355567113,12.3419383,45.4362655,0
355567146,12.3452602,45.438644,0
355567148,12.3447967,45.4387146,0
4902225461,12.3336466,45.4390648,4
9844852295,12.3159273,45.4432857,2
1849034317,12.3213175,45.4477599,2
1913882192,12.3359277,45.4355326,0
1913882196,12.336239,45.4356839,0
3032942168,12.3359103,45.4383427,4
1913882203,12.334915,45.4369817,0
49546839,12.3377892,45.4436695,0
49546948,12.3382373,45.4435612,0
27363017,12.3378007,45.4396959,0
49546958,12.3378554,45.4437987,0
298026706,12.3335376,45.4426,0
2482210515,12.3248051,45.4429943,2
2482210516,12.321981,45.4430047,2
2482210518,12.3248627,45.4431456,2
2482210523,12.3231999,45.4431555,2
2482210524,12.3215944,45.4431855,2
1708754659,12.3394481,45.4377298,0
2482210537,12.3231471,45.4432108,2
1708754669,12.3391105,45.4378262,0
1708754670,12.3390212,45.4378495,0
11435181805,12.3209352,45.4435709,2
2482210539,12.323013,45.4432172,2
5144807166,12.3282301,45.4358494,1
3398708712,12.3186362,45.4407814,2
3398708715,12.3186785,45.4407976,2
2482210596,12.3242326,45.4432592,2
8065910576,12.3210489,45.4441699,2
247858996,12.3388813,45.4349779,0
316442417,12.3417723,45.4419066,0
10587146052,12.3392606,45.4337126,0
2482210625,12.3230513,45.4433032,2
2482210633,12.3216161,45.4433092,2
11945345598,12.3125132,45.4408924,5
411731800,12.3366711,45.4373549,0
3398708733,12.3182235,45.4410179,2
11842448384,12.3177448,45.4390373,1
49547114,12.3383078,45.4436956,0
2482210666,12.3245063,45.4434152,2
49547117,12.3387738,45.4435893,0
3398708735,12.3182815,45.4410372,2
2482210671,12.3244593,45.443454,2
2482210675,12.3217706,45.4435051,2
11842448387,12.3175318,45.4391429,1
2482210678,12.3235477,45.4435061,2
2482210687,12.3236081,45.4435204,2
2482210688,12.3234739,45.4435267,2
2482210692,12.3235485,45.4435372,2
10587146133,12.3393413,45.4335671,0
10587146134,12.3394493,45.4333723,0
9885255577,12.3605712,45.4300886,3
2482210717,12.3220054,45.4435708,2
2482210722,12.3236501,45.4435798,2
2482210724,12.3236081,45.4435801,2
2482210728,12.3234437,45.4435896,2
2482210748,12.3218613,45.4436202,2
222070721,12.3426313,45.4381263,0
222070725,12.3429407,45.4386983,0
3297085381,12.3475709,45.4364152,0
3297085386,12.348505,45.4371659,0
5377001429,12.3626627,45.4256098,3
4809531942,12.3318019,45.4453372,2
10575087579,12.3362901,45.4336712,0
2482210784,12.3220924,45.4439134,2
2482210794,12.3219383,45.443984,2
672466928,12.316922,45.4405017,1
2482210801,12.32223,45.4445174,2
672466930,12.3166186,45.4403629,1
4846061555,12.3298405,45.439241,4
4846061556,12.3296548,45.4393736,4
316442613,12.3420287,45.4422093,0
4212293019,12.3372883,45.4321834,0
8112211967,12.3368043,45.4333027,0
355928070,12.332287,45.4423274,0
355928072,12.3325317,45.4422071,0
4212293023,12.3379605,45.4324415,0
355928076,12.3352687,45.4408883,0
4212293024,12.3383035,45.4324995,0
355928081,12.335894,45.4415731,0
355928082,12.3361064,45.4407468,0
355928083,12.336546,45.4409078,0
355928085,12.3359153,45.4408106,0
355928086,12.3362495,45.4411704,0
10178856983,12.3595074,45.4282032,3
10178856981,12.3595006,45.4281819,3
10178856985,12.360067,45.4294413,3
4212293027,12.3430601,45.4334688,0
4212293029,12.3183434,45.4395517,1
9645230121,12.3389492,45.4347271,0
4212293031,12.3211444,45.4402645,2
7919765568,12.3279058,45.4299534,1
7919765569,12.3278178,45.4299838,1
3327461450,12.3133636,45.4403371,5
3327461451,12.3127724,45.440619,5
3327461453,12.312956,45.4406924,5
3327461466,12.3130051,45.4407059,5
3327461467,12.3129344,45.4405445,5
247793758,12.3310311,45.4305923,6
3327461485,12.3126957,45.4406121,5
12725356654,12.3066128,45.4349282,5
49547384,12.3379173,45.4439304,0
12725356663,12.3070436,45.4349973,5
12725356664,12.3067737,45.4351191,5
4370761861,12.326156,45.4307198,1
12725356672,12.3068761,45.4352412,5
12725356682,12.3059822,45.4357662,5
49973391,12.335763,45.4351669,0
49973394,12.3356964,45.4355875,0
49973399,12.3355965,45.4357179,0
12725356692,12.3055023,45.4359767,5
49973409,12.3354722,45.4358123,0
49973414,12.335718,45.4361588,0
4894394535,12.3288423,45.4392343,4
49973416,12.3358446,45.4360388,0
1838206272,12.3224915,45.4365064,1
1855391925,12.3557725,45.4330134,3
1855391928,12.3508767,45.433276,3
1855391929,12.351701,45.4326399,3
1855391930,12.3528924,45.4330764,3
1855391933,12.3500044,45.4335134,3
8059259078,12.3551714,45.432901,3
8059259082,12.3549572,45.4329026,3
